,POP_2015,active_living,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
557,79.547,921,209,182,195,5000,6646.0,72.4920636458303,23.238184932451087
558,46.737,1430,737,824,713,5000,6646.0,72.49311500968767,23.238184932451087
559,89.621,767,90,90,90,5000,6646.0,72.49416637354501,23.238184932451087
560,57.607,514,780,645,94,5000,6646.0,72.49626910125968,23.238184932451087
561,102.86,719,841,674,300,5000,6646.0,72.49732046511703,23.238184932451084
562,127.524,795,917,642,321,5000,6646.0,72.49837182897436,23.238184932451087
563,101.51,838,942,532,221,5000,6646.0,72.49942319283171,23.238184932451084
564,73.924,905,877,423,191,5000,6646.0,72.50047455668907,23.238184932451087
565,118.291,948,798,345,31,5000,6646.0,72.50152592054641,23.238184932451087
566,36.619,979,829,376,31,5000,6646.0,72.50257728440374,23.238184932451087
567,22.909,1630,1477,789,789,5000,6646.0,72.50783410369048,23.238184932451084
568,27.987,1630,1477,789,789,5000,6646.0,72.50888546754781,23.238184932451087
569,10.893,1587,1462,1088,1102,5000,6646.0,72.47811473292009,23.23734962045135
570,35.02,1625,1499,1125,1045,5000,6646.0,72.4791660926986,23.237349620451354
571,30.279,1679,1554,1180,1099,5000,6646.0,72.48021745247713,23.23734962045135
572,115.435,1097,972,598,692,5000,6646.0,72.48337153181278,23.23734962045135
573,77.865,1049,923,549,644,5000,6646.0,72.4844228915913,23.237349620451354
574,59.179,907,782,436,502,5000,6646.0,72.48547425136982,23.237349620451354
575,62.987,907,782,436,502,5000,6646.0,72.4865256111484,23.237349620451354
576,57.762,1245,506,506,163,5000,6646.0,72.48862833070544,23.237349620451358
577,116.454,1164,425,425,83,5000,6646.0,72.48967969048398,23.237349620451354
578,109.347,1081,342,342,43,5000,6646.0,72.49073105026253,23.237349620451354
579,112.269,983,225,225,130,5000,6646.0,72.49178241004107,23.237349620451354
580,103.613,890,123,123,123,5000,6646.0,72.4928337698196,23.237349620451354
581,42.415,1492,723,810,701,5000,6646.0,72.49388512959814,23.237349620451354
582,21.874,976,117,117,117,5000,6646.0,72.49493648937668,23.237349620451354
583,70.581,693,796,716,274,5000,6646.0,72.49703920893373,23.237349620451354
584,129.649,759,841,674,339,5000,6646.0,72.49809056871227,23.237349620451354
585,108.129,918,983,635,324,5000,6646.0,72.49914192849081,23.237349620451354
586,138.306,979,829,376,31,5000,6646.0,72.5012446480479,23.237349620451354
587,86.034,1052,903,450,104,5000,6646.0,72.50229600782642,23.23734962045135
588,27.763,1630,1477,789,789,5000,6646.0,72.50755280671912,23.237349620451354
589,33.72,1630,1477,789,789,5000,6646.0,72.50860416649766,23.23734962045135
590,43.969,1644,1519,1145,973,5000,6646.0,72.47888491901831,23.236514310439937
591,57.167,1597,1472,1098,927,5000,6646.0,72.47993627471823,23.236514310439933
592,61.453,1615,1490,1116,945,5000,6646.0,72.48098763041817,23.236514310439937
593,118.136,1303,1178,804,898,5000,6646.0,72.48203898611808,23.236514310439933
594,87.85,1196,1071,697,791,5000,6646.0,72.483090341818,23.236514310439933
595,106.248,1111,985,611,706,5000,6646.0,72.48414169751791,23.23651431043993
596,88.005,1277,1152,805,643,5000,6646.0,72.48519305321784,23.23651431043993
597,74.3,1307,512,512,249,5000,6646.0,72.48834712031763,23.236514310439933
598,86.034,1272,506,506,213,5000,6646.0,72.48939847601753,23.236514310439937
599,104.698,1136,341,341,132,5000,6646.0,72.49044983171743,23.23651431043993
600,103.037,1098,303,303,214,5000,6646.0,72.49150118741737,23.236514310439933
601,90.351,1152,300,300,270,5000,6646.0,72.49255254311728,23.236514310439933
602,74.087,1011,153,153,153,5000,6646.0,72.49360389881721,23.236514310439933
603,32.124,997,139,139,139,5000,6646.0,72.49465525451713,23.236514310439937
604,37.261,1062,204,204,204,5000,6646.0,72.49570661021706,23.23651431043993
605,46.648,780,646,646,360,5000,6646.0,72.49675796591698,23.23651431043993
606,95.266,828,677,677,408,5000,6646.0,72.49780932161691,23.23651431043993
607,112.668,992,910,709,398,5000,6646.0,72.49886067731681,23.236514310439933
608,81.651,1068,833,785,474,5000,6646.0,72.49991203301674,23.236514310439933
609,94.159,1208,1058,605,260,5000,6646.0,72.50096338871666,23.23651431043993
610,120.24,1098,949,496,150,5000,6646.0,72.50201474441657,23.236514310439933
611,34.648,1172,1023,569,224,5000,6646.0,72.50306610011653,23.23651431043993
612,84.064,1697,1544,765,198,5000,6646.0,72.50516881151634,23.23651431043993
613,130.712,1763,1610,831,264,5000,6646.0,72.50622016721628,23.236514310439933
614,4.738,1637,1512,1138,967,5000,6646.0,72.4786037585009,23.23567900241673
615,77.466,1569,1443,1070,898,5000,6646.0,72.47965511012238,23.235679002416727
616,53.046,1500,1374,1000,823,5000,6646.0,72.48070646174389,23.23567900241673
617,1.993,1328,1203,829,923,5000,6646.0,72.48175781336539,23.235679002416735
618,12.0,1252,1127,753,702,5000,6646.0,72.48280916498688,23.23567900241673
619,54.692,1273,1148,802,639,5000,6646.0,72.48386051660837,23.23567900241673
620,107.332,1229,1103,757,595,5000,6646.0,72.48491186822989,23.23567900241673
621,26.811,1164,1039,693,530,5000,6646.0,72.48596321985137,23.235679002416735
622,43.947,1195,914,724,383,5000,6646.0,72.48701457147286,23.235679002416735
623,79.082,1332,743,776,297,5000,6646.0,72.48806592309437,23.235679002416727
624,117.981,1354,559,559,296,5000,6646.0,72.48911727471587,23.235679002416735
625,129.47,1518,685,685,433,5000,6646.0,72.49016862633735,23.235679002416727
626,49.935,1160,331,331,277,5000,6646.0,72.49121997795883,23.235679002416727
627,78.284,1146,303,303,281,5000,6646.0,72.49227132958035,23.23567900241673
