,POP_2015,education,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
411,56.28,5000,1656,206,1900,6591.0,75.66392036680858,32.277410602210786
412,124.753,5000,1688,170,1931,6591.0,75.66502752757513,32.27741060221078
413,94.216,5000,2260,689,2504,6591.0,75.66834900987479,32.27741060221077
414,132.023,5000,2210,638,2453,6591.0,75.66945617064137,32.27741060221078
415,72.773,5000,2284,712,2528,6591.0,75.6705633314079,32.27741060221078
416,0.0,4424,1661,477,964,6591.0,75.6335795832156,32.27654852402588
417,29.234,4488,1726,541,1028,6591.0,75.63468673743232,32.27654852402588
418,32.231,4446,1684,499,986,6591.0,75.63579389164903,32.276548524025884
419,20.454,4866,1440,646,1406,6591.0,75.63690104586573,32.27654852402588
420,106.645,4841,1415,594,1381,6591.0,75.63800820008245,32.276548524025884
421,170.689,4790,1326,545,1331,6591.0,75.63911535429914,32.27654852402588
422,117.354,4758,1267,540,1298,6591.0,75.64022250851586,32.27654852402588
423,76.025,5000,1152,425,1633,6591.0,75.64132966273256,32.27654852402588
424,31.718,5000,952,236,1433,6591.0,75.64243681694929,32.27654852402588
425,100.887,4978,873,157,1354,6591.0,75.64354397116598,32.27654852402588
426,136.166,4865,831,162,1262,6591.0,75.6446511253827,32.27654852402588
427,145.624,4817,795,198,1213,6591.0,75.6457582795994,32.27654852402588
428,116.103,4599,576,88,995,6591.0,75.6468654338161,32.27654852402588
429,153.805,4540,518,196,936,6591.0,75.64797258803283,32.27654852402588
430,131.424,4420,463,279,821,6591.0,75.64907974224955,32.27654852402588
431,108.886,4338,538,387,822,6591.0,75.65018689646625,32.276548524025884
432,165.687,4371,639,122,898,6591.0,75.65240120489966,32.27654852402588
433,115.217,4340,639,122,898,6591.0,75.65350835911637,32.27654852402588
434,58.025,4327,648,43,891,6591.0,75.65461551333308,32.27654852402588
435,51.095,4465,786,181,1029,6591.0,75.65572266754978,32.27654852402588
436,75.014,4567,887,140,1131,6591.0,75.65682982176651,32.276548524025884
437,35.878,4613,934,183,1177,6591.0,75.65793697598323,32.27654852402588
438,10.995,4694,1014,123,1257,6591.0,75.65904413019993,32.276548524025884
439,18.004,4797,1117,179,1361,6591.0,75.66015128441664,32.27654852402588
440,62.273,4876,1196,246,1440,6591.0,75.66125843863334,32.27654852402588
441,42.939,4981,1321,121,1564,6591.0,75.66236559285007,32.276548524025884
442,20.662,5000,1580,137,1824,6591.0,75.66347274706676,32.27654852402588
443,125.327,5000,1590,105,1833,6591.0,75.66457990128349,32.276548524025884
444,46.248,5000,1667,99,1910,6591.0,75.66568705550017,32.27654852402588
445,15.711,5000,2078,506,2322,6591.0,75.6690085181503,32.27654852402588
446,14.252,4424,1661,477,964,6591.0,75.6331321597062,32.27568644893353
447,23.867,4424,1661,477,964,6591.0,75.63423930737335,32.27568644893352
448,14.591,4358,1596,411,898,6591.0,75.6353464550405,32.27568644893353
449,14.695,4356,1568,409,896,6591.0,75.63645360270765,32.27568644893353
450,39.891,4563,1379,616,1103,6591.0,75.63756075037477,32.27568644893352
451,127.072,4654,1248,522,1194,6591.0,75.63866789804194,32.27568644893352
452,161.596,4693,1210,484,1233,6591.0,75.63977504570909,32.27568644893352
453,102.382,4778,1094,368,1318,6591.0,75.64088219337623,32.27568644893353
454,107.635,4818,707,32,1188,6591.0,75.64420363637768,32.27568644893352
455,114.357,4749,726,89,1145,6591.0,75.64531078404482,32.27568644893353
456,69.985,4634,611,0,1030,6591.0,75.64641793171198,32.27568644893353
457,109.25,4546,524,87,943,6591.0,75.64752507937912,32.27568644893352
458,87.416,4412,389,222,808,6591.0,75.64863222704628,32.27568644893352
459,146.692,4317,390,332,713,6591.0,75.6497393747134,32.27568644893352
460,169.777,4203,334,333,600,6591.0,75.65084652238055,32.27568644893352
461,161.518,4137,363,233,621,6591.0,75.65195367004772,32.27568644893352
462,154.795,4228,496,64,755,6591.0,75.65306081771485,32.27568644893352
463,109.12,4233,553,29,797,6591.0,75.65416796538202,32.27568644893352
464,91.533,4387,707,39,951,6591.0,75.65527511304916,32.27568644893353
465,98.177,4445,766,19,1009,6591.0,75.65638226071631,32.27568644893352
466,77.671,4544,865,93,1108,6591.0,75.65748940838346,32.27568644893352
467,95.702,4651,971,97,1215,6591.0,75.6585965560506,32.27568644893352
468,84.081,4740,1069,0,1313,6591.0,75.65970370371775,32.27568644893352
469,117.614,4823,1143,205,1387,6591.0,75.6608108513849,32.27568644893353
470,55.081,5000,1359,82,1603,6591.0,75.66191799905204,32.27568644893352
471,55.889,5000,1450,7,1694,6591.0,75.66302514671919,32.27568644893353
472,71.913,5000,1514,55,1758,6591.0,75.66413229438632,32.27568644893352
473,74.232,5000,1571,0,1815,6591.0,75.66523944205349,32.27568644893352
474,0.078,5000,1964,392,2208,6591.0,75.66856088505493,32.27568644893353
475,0.0,5000,1964,392,2208,6591.0,75.66966803272207,32.27568644893352
476,33.377,5000,2252,284,2496,6591.0,75.67188232805637,32.27568644893352
477,45.128,5000,2327,209,2571,6591.0,75.67298947572351,32.27568644893353
478,9.276,4233,3046,1862,47,6591.0,75.61829192105021,32.2748243769336
479,30.016,5000,4644,3459,1645,6591.0,75.62493476775744,32.274824376933594
480,4.742,5000,4654,3469,1655,6591.0,75.6260419088753,32.27482437693361
481,2.032,3325,2139,955,913,6591.0,75.62714904999315,32.274824376933594
482,19.307,4257,1482,310,797,6591.0,75.63489903781827,32.27482437693361
483,5.862,4242,1455,295,782,6591.0,75.63600617893613,32.274824376933594
484,124.311,4416,1339,469,956,6591.0,75.637113320054,32.274824376933594
485,141.924,4510,1253,527,1050,6591.0,75.63822046117187,32.274824376933594
486,147.239,4635,1160,434,1175,6591.0,75.63932760228974,32.2748243769336
487,131.398,4769,1022,296,1309,6591.0,75.64043474340761,32.2748243769336
488,60.594,4741,939,213,1281,6591.0,75.64154188452547,32.274824376933594
489,91.77,4767,656,59,1137,6591.0,75.64375616676121,32.2748243769336
490,71.418,4681,570,55,1051,6591.0,75.64486330787909,32.2748243769336
491,58.911,4471,368,297,841,6591.0,75.64707759011483,32.2748243769336
492,51.043,4418,316,305,788,6591.0,75.6481847312327,32.2748243769336
493,99.532,4340,238,328,710,6591.0,75.64929187235056,32.274824376933594
494,145.702,4252,161,251,622,6591.0,75.65039901346843,32.27482437693361
495,152.19,4081,300,187,559,6591.0,75.65150615458631,32.2748243769336
496,152.529,4228,496,64,755,6591.0,75.65261329570416,32.274824376933594
497,109.641,4125,446,59,689,6591.0,75.65372043682206,32.2748243769336
498,144.634,4209,529,143,773,6591.0,75.65482757793991,32.274824376933594
499,170.168,4467,788,119,1031,6591.0,75.6559347190578,32.27482437693361
500,157.062,4566,949,16,1193,6591.0,75.65704186017564,32.2748243769336
501,108.026,4611,1040,75,1283,6591.0,75.65814900129352,32.27482437693361
502,96.509,4689,1117,66,1361,6591.0,75.65925614241138,32.274824376933594
