,POP_2015,community_space,food_choices,health_wellbeing,mobility,ID_HDC_G0,lng,lat
318,40.582,2498,1519,389,1506,8195.0,77.48559024322597,10.00332450658559
319,100.957,5000,1415,336,1801,8195.0,77.46331086936101,10.002510981352128
320,123.976,5000,1415,336,1801,8195.0,77.46431812255966,10.002510981352124
321,139.411,4760,1110,83,1496,8195.0,77.46633262895696,10.002510981352126
322,84.092,5000,5000,5000,5000,8195.0,77.47539790774488,10.002510981352124
323,0.0,5000,2542,1399,2928,8195.0,77.45513309725493,10.001697456898162
324,0.0,5000,2542,1399,2928,8195.0,77.45614034889635,10.001697456898166
325,18.295,5000,1675,532,2061,8195.0,77.46117660710354,10.001697456898166
326,81.198,5000,1675,532,2061,8195.0,77.46218385874498,10.001697456898164
327,109.938,5000,1533,390,1919,8195.0,77.46319111038642,10.001697456898164
328,146.496,5000,1415,336,1801,8195.0,77.46419836202784,10.001697456898162
329,155.876,4783,1132,61,1519,8195.0,77.46621286531071,10.001697456898162
330,103.153,4601,951,93,1337,8195.0,77.46722011695216,10.001697456898162
331,104.949,4597,955,93,1333,8195.0,77.46822736859357,10.001697456898162
332,22.121,5000,5000,5000,5000,8195.0,77.47527813008364,10.001697456898164
333,0.0,1336,2314,0,1282,8195.0,77.48837240142228,10.001697456898164
334,39.318,1336,2314,0,1282,8195.0,77.48937965306372,10.001697456898164
335,0.0,5000,2492,1349,2878,8195.0,77.45501336099503,10.000883933223635
336,0.0,5000,2492,1349,2878,8195.0,77.45602061107938,10.000883933223633
337,52.89,5000,1675,532,2061,8195.0,77.4610568615011,10.000883933223637
338,110.471,5000,1676,520,2062,8195.0,77.46206411158545,10.000883933223633
339,137.88,5000,1621,461,2007,8195.0,77.4630713616698,10.000883933223633
340,119.652,5000,1453,288,1839,8195.0,77.46407861175415,10.000883933223633
341,142.305,4963,1313,201,1699,8195.0,77.46508586183849,10.000883933223633
342,144.367,4835,1185,18,1571,8195.0,77.46609311192283,10.000883933223637
343,117.922,4691,1048,0,1427,8195.0,77.46710036200717,10.000883933223633
344,132.525,4594,960,93,1330,8195.0,77.46810761209152,10.000883933223633
345,23.318,1247,2403,88,1371,8195.0,77.48825261377844,10.000883933223635
346,5.555,1247,2403,88,1371,8195.0,77.48925986386278,10.000883933223633
347,143.529,5000,3684,498,4070,8195.0,77.44482114971797,10.000070410328478
